team1,team2,winner,margin,ground,match_date,potm
Canada,U.S.A,U.S.A,7 wickets,Grand Prairie,02-06-2024,Aaron Jones
Papua New Guinea,West Indies,West Indies,5 wickets,Providence,02-06-2024,Roston Chase
Oman,Namibia,Namibia,4 wickets,Kensington,03-06-2024,David Wiese
Sri Lanka,South Africa,South Africa,6 wickets,Nassau County,03-06-2024,Anrich Nortje
Afghanistan,Uganda,Afghanistan,125 runs,Providence,04-06-2024,Fazalhaq Farooqi
Scotland,England,no result,,Kensington,05-06-2024,
Nepal,Netherlands,Netherlands,6 wickets,Grand Prairie,05-06-2024,Tim Pringle
Ireland,India,India,8 wickets,Nassau County,05-06-2024,Jasprit Bumrah
Papua New Guinea,Uganda,Uganda,3 wickets,Providence,06-06-2024,Riazat Ali Shah
Australia,Oman,Australia,39 runs,Kensington,06-06-2024,Marcus Stoinis
Pakistan,U.S.A,U.S.A,1 run,Grand Prairie,07-06-2024,Monank Patel
Namibia,Scotland,Scotland,5 wickets,Kensington,07-06-2024,Michael Leask
Canada,Ireland,Canada,12 runs,Nassau County,07-06-2024,Nicholas Kirton
Afghanistan,New Zealand,Afghanistan,84 runs,Providence,08-06-2024,Rahmanullah Gurbaz
Sri Lanka,Bangladesh,Bangladesh,2 wickets,Grand Prairie,08-06-2024,Rishad Hossain
Netherlands,South Africa,South Africa,4 wickets,Nassau County,08-06-2024,David Miller
Australia,England,Australia,36 runs,Kensington,09-06-2024,Adam Zampa
West Indies,Uganda,West Indies,134 runs,Providence,09-06-2024,Akeal Hosein
India,Pakistan,India,6 runs,Nassau County,10-06-2024,Jasprit Bumrah
Oman,Scotland,Scotland,7 wickets,Sir Vivian Richards,10-06-2024,Brandon McMullen
South Africa,Bangladesh,South Africa,4 runs,Nassau County,10-06-2024,Heinrich Klaasen
Canada,Pakistan,Pakistan,7 wickets,Nassau County,11-06-2024,Mohammad Amir
Nepal,Sri Lanka,no result,,Lauderhill,12-06-2024,
Namibia,Australia,Australia,9 wickets,Sir Vivian Richards,12-06-2024,Adam Zampa
U.S.A,India,India,7 wickets,Nassau County,12-06-2024,Arshdeep Singh
West Indies,New Zealand,West Indies,13 runs,Brian Lara,13-06-2024,Sherfane Rutherford
Bangladesh,Netherlands,Bangladesh,25 runs,Arnos Vale,13-06-2024,Shakib Al Hasan
Oman,England,England,8 wickets,Sir Vivian Richards,14-06-2024,Adil Rashid
Papua New Guinea,Afghanistan,Afghanistan,7 wickets,Brian Lara,14-06-2024,Fazalhaq Farooqi
U.S.A,Ireland,no result,,Lauderhill,15-06-2024,
South Africa,Nepal,South Africa,1 run,Arnos Vale,15-06-2024,Tabraiz Shamsi
Uganda,New Zealand,New Zealand,9 wickets,Brian Lara,15-06-2024,Tim Southee
Canada,India,no result,,Lauderhill,16-06-2024,
England,Namibia,England,41 runs,Sir Vivian Richards,16-06-2024,Harry Brook
Scotland,Australia,Australia,5 wickets,Daren Sammy,16-06-2024,Marcus Stoinis
Ireland,Pakistan,Pakistan,3 wickets,Lauderhill,16-06-2024,Shaheen Shah Afridi
Bangladesh,Nepal,Bangladesh,21 runs,Arnos Vale,17-06-2024,Tanzim Hasan Sakib
Sri Lanka,Netherlands,Sri Lanka,83 runs,Daren Sammy,17-06-2024,Charith Asalanka
Papua New Guinea,New Zealand,New Zealand,7 wickets,Brian Lara,17-06-2024,Lockie Ferguson
West Indies,Afghanistan,West Indies,104 runs,Daren Sammy,18-06-2024,Nicholas Pooran
South Africa,U.S.A,South Africa,18 runs,Sir Vivian Richards,19-06-2024,Quinton de Kock
West Indies,England,England,8 wickets,Daren Sammy,20-06-2024,Phil Salt
India,Afghanistan,India,47 runs,Kensington,20-06-2024,Suryakumar Yadav
Bangladesh,Australia,Australia,28 runs,Sir Vivian Richards,21-06-2024,David Warner
South Africa,England,South Africa,7 runs,Daren Sammy,21-06-2024,Quinton de Kock
U.S.A,West Indies,West Indies,9 wickets,Kensington,22-06-2024,Roston Chase
India,Bangladesh,India,50 runs,Sir Vivian Richards,22-06-2024,Hardik Pandya
Afghanistan,Australia,Afghanistan,21 runs,Arnos Vale,23-06-2024,Gulbadin Naib
U.S.A,England,England,10 wickets,Kensington,23-06-2024,Adil Rashid
West Indies,South Africa,South Africa,3 wickets,Sir Vivian Richards,24-06-2024,Tabraiz Shamsi
India,Australia,India,24 runs,Daren Sammy,24-06-2024,Rohit Sharma
Afghanistan,Bangladesh,Afghanistan,8 runs,Arnos Vale,25-06-2024,Naveen-ul-Haq
Afghanistan,South Africa,South Africa,9 wickets,Brian Lara,27-06-2024,Marco Jansen
India,England,India,68 runs,Providence,27-06-2024,Axar Patel
India,South Africa,India,7 runs,Kensington,29-06-2024,Virat Kohli
